OFFENSE,BLOCK_GROUP,COUNT,BG_ID
ASSAULT W/DANGEROUS WEAPON,009604 2,19,A096042
ASSAULT W/DANGEROUS WEAPON,009700 1,82,A097001
ASSAULT W/DANGEROUS WEAPON,009700 2,18,A097002
ASSAULT W/DANGEROUS WEAPON,009801 1,68,A098011
ASSAULT W/DANGEROUS WEAPON,009802 1,6,A098021
ASSAULT W/DANGEROUS WEAPON,009802 2,30,A098022
ASSAULT W/DANGEROUS WEAPON,009803 1,27,A098031
ASSAULT W/DANGEROUS WEAPON,009803 2,23,A098032
ASSAULT W/DANGEROUS WEAPON,009803 3,41,A098033
ASSAULT W/DANGEROUS WEAPON,009804 1,62,A098041
ASSAULT W/DANGEROUS WEAPON,009804 2,35,A098042
ASSAULT W/DANGEROUS WEAPON,009807 1,73,A098071
ASSAULT W/DANGEROUS WEAPON,009807 2,61,A098072
ASSAULT W/DANGEROUS WEAPON,009810 1,96,A098101
ASSAULT W/DANGEROUS WEAPON,009810 2,25,A098102
ASSAULT W/DANGEROUS WEAPON,009811 1,95,A098111
ASSAULT W/DANGEROUS WEAPON,009811 2,89,A098112
ASSAULT W/DANGEROUS WEAPON,009901 1,9,A099011
ASSAULT W/DANGEROUS WEAPON,009901 2,27,A099012
ASSAULT W/DANGEROUS WEAPON,009902 1,15,A099021
ASSAULT W/DANGEROUS WEAPON,009902 2,24,A099022
ASSAULT W/DANGEROUS WEAPON,009903 1,36,A099031
ASSAULT W/DANGEROUS WEAPON,009903 2,29,A099032
ASSAULT W/DANGEROUS WEAPON,009904 1,22,A099041
ASSAULT W/DANGEROUS WEAPON,009904 2,96,A099042
ASSAULT W/DANGEROUS WEAPON,009905 1,51,A099051
ASSAULT W/DANGEROUS WEAPON,009905 2,28,A099052
ASSAULT W/DANGEROUS WEAPON,009905 3,41,A099053
ASSAULT W/DANGEROUS WEAPON,009906 1,59,A099061
ASSAULT W/DANGEROUS WEAPON,009907 1,32,A099071
ASSAULT W/DANGEROUS WEAPON,009907 2,100,A099072
ASSAULT W/DANGEROUS WEAPON,010100 1,79,A101001
ASSAULT W/DANGEROUS WEAPON,010100 2,21,A101002
